,name,+-10%,+-20%,+-30%,features,target,street,mse,min_samples_leaf,path
3,2020-12-10 23_53_25,20.833333333333332,43.45238095238095,68.45238095238095,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tmin', 'tmax', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae']",Taux d'occupation,sts,5.744065983531083,10,C:\Users\ihebe\OneDrive\Bureau\BCG\sts\Taux d_occupation\best\2020-12-10 23_53_25
0,2020-12-10 23_53_16,20.833333333333332,44.04761904761905,68.45238095238095,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tmin', 'tmax', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae']",Taux d'occupation,sts,5.746917741789509,10,C:\Users\ihebe\OneDrive\Bureau\BCG\sts\Taux d_occupation\best\2020-12-10 23_53_16
4,2020-12-10 23_53_28,19.642857142857142,42.857142857142854,69.04761904761905,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tmin', 'tmax', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae']",Taux d'occupation,sts,5.891521468017824,10,C:\Users\ihebe\OneDrive\Bureau\BCG\sts\Taux d_occupation\best\2020-12-10 23_53_28
1,2020-12-10 23_53_19,20.238095238095237,42.857142857142854,67.26190476190476,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tmin', 'tmax', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae']",Taux d'occupation,sts,5.984571348348529,10,C:\Users\ihebe\OneDrive\Bureau\BCG\sts\Taux d_occupation\best\2020-12-10 23_53_19
2,2020-12-10 23_53_22,19.642857142857142,41.666666666666664,69.04761904761905,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tmin', 'tmax', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae']",Taux d'occupation,sts,6.01027535841466,10,C:\Users\ihebe\OneDrive\Bureau\BCG\sts\Taux d_occupation\best\2020-12-10 23_53_22
