,name,features,mse_tot,mse_first,kernel,degree,inv_generalization,path
29,2020-12-09 03_06_48,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",46.297831445154934,36.34658491662874,rbf,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_06_48
300,2020-12-09 04_38_42,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week']",51.63204818225425,66.51313618761868,linear,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_38_42
324,2020-12-09 04_54_23,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week']",51.63204818225425,66.51313618761868,linear,3,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_54_23
288,2020-12-09 04_32_48,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week']",51.63369465737769,66.50735522858074,linear,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_32_48
312,2020-12-09 04_48_40,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week']",51.63369465737769,66.50735522858074,linear,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_48_40
319,2020-12-09 04_51_47,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'retail_and_recreation_percent_change_from_baseline']",51.74535464076203,64.7978383793274,linear,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_51_47
295,2020-12-09 04_36_02,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'retail_and_recreation_percent_change_from_baseline']",51.74535464076203,64.7978383793274,linear,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_36_02
307,2020-12-09 04_44_11,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'retail_and_recreation_percent_change_from_baseline']",51.76907983454304,64.8078413048982,linear,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_44_11
331,2020-12-09 04_59_56,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'retail_and_recreation_percent_change_from_baseline']",51.76907983454304,64.8078413048982,linear,3,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_59_56
289,2020-12-09 04_33_10,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres']",52.60672128740052,66.81957861750564,linear,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_33_10
313,2020-12-09 04_49_00,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres']",52.60672128740052,66.81957861750564,linear,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_49_00
325,2020-12-09 04_54_56,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres']",52.62724771600441,66.8193367189932,linear,3,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_54_56
301,2020-12-09 04_39_15,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres']",52.62724771600441,66.8193367189932,linear,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_39_15
18,2020-12-09 03_04_54,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'retail_and_recreation_percent_change_from_baseline']",53.6750036884275,46.5416039283593,rbf,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_04_54
66,2020-12-09 03_12_54,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'retail_and_recreation_percent_change_from_baseline']",53.6750036884275,46.5416039283593,rbf,4,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_12_54
42,2020-12-09 03_08_56,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'retail_and_recreation_percent_change_from_baseline']",53.6750036884275,46.5416039283593,rbf,3,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_08_56
90,2020-12-09 03_16_49,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'retail_and_recreation_percent_change_from_baseline']",53.6750036884275,46.5416039283593,rbf,5,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_16_49
320,2020-12-09 04_52_21,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'taux_occupation_sae']",53.93408596950452,70.25866658237292,linear,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_52_21
296,2020-12-09 04_36_37,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'taux_occupation_sae']",53.93408596950452,70.25866658237292,linear,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_36_37
308,2020-12-09 04_45_10,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'taux_occupation_sae']",53.93791865480258,70.26097415650891,linear,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_45_10
332,2020-12-09 05_01_01,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'taux_occupation_sae']",53.93791865480258,70.26097415650891,linear,3,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 05_01_01
309,2020-12-09 04_45_44,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'taux_occupation_sae']",54.17707644887267,70.90784700004747,linear,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_45_44
333,2020-12-09 05_01_36,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'taux_occupation_sae']",54.17707644887267,70.90784700004747,linear,3,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 05_01_36
321,2020-12-09 04_52_42,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'taux_occupation_sae']",54.18524736915974,70.90201895976433,linear,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_52_42
297,2020-12-09 04_36_59,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'taux_occupation_sae']",54.18524736915974,70.90201895976433,linear,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_36_59
54,2020-12-09 03_10_56,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'retail_and_recreation_percent_change_from_baseline']",56.31013392361002,46.78222246170823,rbf,4,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_10_56
6,2020-12-09 03_02_54,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'retail_and_recreation_percent_change_from_baseline']",56.31013392361002,46.78222246170823,rbf,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_02_54
30,2020-12-09 03_06_56,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'retail_and_recreation_percent_change_from_baseline']",56.31013392361002,46.78222246170823,rbf,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_06_56
78,2020-12-09 03_14_52,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'retail_and_recreation_percent_change_from_baseline']",56.31013392361002,46.78222246170823,rbf,5,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_14_52
322,2020-12-09 04_53_12,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae']",57.169870660921774,70.12881007978248,linear,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_53_12
298,2020-12-09 04_37_30,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae']",57.169870660921774,70.12881007978248,linear,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_37_30
310,2020-12-09 04_46_36,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae']",57.216829990013025,70.1409297967688,linear,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_46_36
334,2020-12-09 05_02_32,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae']",57.216829990013025,70.1409297967688,linear,3,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 05_02_32
335,2020-12-09 05_03_36,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae', 'retail_and_recreation_percent_change_from_baseline']",57.330317528868314,65.17817096204982,linear,3,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 05_03_36
311,2020-12-09 04_47_36,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae', 'retail_and_recreation_percent_change_from_baseline']",57.330317528868314,65.17817096204982,linear,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_47_36
323,2020-12-09 04_53_47,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae', 'retail_and_recreation_percent_change_from_baseline']",57.34808131449485,65.17930041602462,linear,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_53_47
299,2020-12-09 04_38_05,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae', 'retail_and_recreation_percent_change_from_baseline']",57.34808131449485,65.17930041602462,linear,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_38_05
101,2020-12-09 03_18_44,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",59.03299885873144,67.6019298209357,poly,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_18_44
