,name,features,target,street,mse_tot,mse_first,min_samples_leaf,path
7,2020-12-10 15_25_39,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week']",Débit horaire,sts,29352.928443598314,3851.008496339538,6,/content/drive/My Drive/Hackathon_BCG_final/sts/Débit horaire/2020-12-10 15_25_39
0,2020-12-10 15_25_26,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week']",Débit horaire,sts,29442.581021765265,3522.445799365648,5,/content/drive/My Drive/Hackathon_BCG_final/sts/Débit horaire/2020-12-10 15_25_26
40,2020-12-10 15_26_37,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'tmin', 'tmax', 'taux_occupation_sae']",Débit horaire,sts,30582.42765008482,5893.787623437471,10,/content/drive/My Drive/Hackathon_BCG_final/sts/Débit horaire/2020-12-10 15_26_37
33,2020-12-10 15_26_25,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'tmin', 'tmax', 'taux_occupation_sae']",Débit horaire,sts,31104.47885111917,5388.675855912495,9,/content/drive/My Drive/Hackathon_BCG_final/sts/Débit horaire/2020-12-10 15_26_25
39,2020-12-10 15_26_36,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'taux_occupation_sae']",Débit horaire,sts,31482.930635953428,5870.052520123837,10,/content/drive/My Drive/Hackathon_BCG_final/sts/Débit horaire/2020-12-10 15_26_36
32,2020-12-10 15_26_24,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'taux_occupation_sae']",Débit horaire,sts,32182.377932985757,5906.46954496256,9,/content/drive/My Drive/Hackathon_BCG_final/sts/Débit horaire/2020-12-10 15_26_24
26,2020-12-10 15_26_13,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'tmin', 'tmax', 'taux_occupation_sae']",Débit horaire,sts,32552.300985111142,5274.81837866682,8,/content/drive/My Drive/Hackathon_BCG_final/sts/Débit horaire/2020-12-10 15_26_13
19,2020-12-10 15_26_00,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'tmin', 'tmax', 'taux_occupation_sae']",Débit horaire,sts,33071.23888857911,5673.412703578105,7,/content/drive/My Drive/Hackathon_BCG_final/sts/Débit horaire/2020-12-10 15_26_00
18,2020-12-10 15_25_59,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'taux_occupation_sae']",Débit horaire,sts,33671.30685898004,4873.824573185248,7,/content/drive/My Drive/Hackathon_BCG_final/sts/Débit horaire/2020-12-10 15_25_59
12,2020-12-10 15_25_48,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'tmin', 'tmax', 'taux_occupation_sae']",Débit horaire,sts,33898.95533936922,5694.199668903217,6,/content/drive/My Drive/Hackathon_BCG_final/sts/Débit horaire/2020-12-10 15_25_48
25,2020-12-10 15_26_11,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'taux_occupation_sae']",Débit horaire,sts,34052.25146593346,6301.797738283594,8,/content/drive/My Drive/Hackathon_BCG_final/sts/Débit horaire/2020-12-10 15_26_11
5,2020-12-10 15_25_35,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'tmin', 'tmax', 'taux_occupation_sae']",Débit horaire,sts,34409.96876238136,4703.039026054449,5,/content/drive/My Drive/Hackathon_BCG_final/sts/Débit horaire/2020-12-10 15_25_35
11,2020-12-10 15_25_46,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'taux_occupation_sae']",Débit horaire,sts,36404.10728643018,4433.118317358721,6,/content/drive/My Drive/Hackathon_BCG_final/sts/Débit horaire/2020-12-10 15_25_46
4,2020-12-10 15_25_33,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'taux_occupation_sae']",Débit horaire,sts,36721.170179290595,4828.972773019693,5,/content/drive/My Drive/Hackathon_BCG_final/sts/Débit horaire/2020-12-10 15_25_33
