,name,+-10%,+-20%,+-30%,features,target,street,mse,min_samples_leaf,path
4,2020-12-10 23_43_45,30.357142857142858,63.095238095238095,82.73809523809524,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'tmin', 'tmax', 'taux_occupation_sae']",Débit horaire,washington,22180.307769615953,7,C:\Users\ihebe\OneDrive\Bureau\BCG\washington\Débit horaire\best\2020-12-10 23_43_45
0,2020-12-10 23_43_34,31.547619047619047,61.904761904761905,81.54761904761905,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'taux_occupation_sae']",Débit horaire,washington,22838.802812743168,7,C:\Users\ihebe\OneDrive\Bureau\BCG\washington\Débit horaire\best\2020-12-10 23_43_34
3,2020-12-10 23_43_42,32.142857142857146,60.11904761904762,81.54761904761905,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'taux_occupation_sae']",Débit horaire,washington,22944.312639449334,7,C:\Users\ihebe\OneDrive\Bureau\BCG\washington\Débit horaire\best\2020-12-10 23_43_42
1,2020-12-10 23_43_36,30.357142857142858,59.523809523809526,81.54761904761905,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'tmin', 'tmax', 'taux_occupation_sae']",Débit horaire,washington,23059.47085453857,7,C:\Users\ihebe\OneDrive\Bureau\BCG\washington\Débit horaire\best\2020-12-10 23_43_36
2,2020-12-10 23_43_40,32.73809523809524,60.714285714285715,82.14285714285714,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'taux_occupation_sae']",Débit horaire,washington,23972.20737892272,7,C:\Users\ihebe\OneDrive\Bureau\BCG\washington\Débit horaire\best\2020-12-10 23_43_40
